config_id,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,decode_tok_s,ttft_ms,tpot_ms,duration_s,baseline_power_w,active_power_w,peak_power_w,dynamic_power_w,total_energy_j,dynamic_energy_per_token_mj,temp_cpu_start_c,temp_cpu_end_c,cooling_state,cpu_freq_mhz,voltage_v,notes
RND_0728,Random_50M_150M,11,480,4,1,64,32,2624,35.8000,614.00,27.93,1.4799,0.0974,0.3369,0.7557,0.2394,0.4985,11.0740,34.4,34.4,0,1900.8,3.822,
RND_0729,Random_50M_150M,15,480,8,1,16,16,1952,36.4300,615.00,27.45,1.4659,0.3243,0.4241,0.7768,0.0998,0.6216,4.5715,35.1,34.0,0,1900.8,3.820,
RND_0730,Random_50M_150M,27,512,1,1,64,48,2656,13.5500,2492.00,73.80,4.7798,0.1195,0.5405,0.9019,0.4209,2.5833,62.8711,34.4,35.1,0,1900.8,3.825,
RND_0731,Random_50M_150M,20,544,6,6,32,48,992,34.4400,656.00,29.04,1.5561,0.1120,0.3180,0.6767,0.2060,0.4949,10.0181,34.7,35.1,0,1900.8,3.821,
RND_0732,Random_50M_150M,19,352,12,3,32,32,1440,38.9000,532.00,25.71,1.3289,0.1199,0.3682,0.6029,0.2483,0.4892,10.3111,34.7,34.4,0,1900.8,3.820,
RND_0733,Random_50M_150M,23,576,4,1,64,64,2336,21.1000,1558.00,47.39,3.0272,0.0967,0.4163,0.7677,0.3195,1.2601,30.2290,33.7,34.0,0,1900.8,3.816,
RND_0734,Random_50M_150M,6,608,16,1,16,48,1696,52.6300,389.00,19.00,0.9780,0.1144,0.2927,0.5244,0.1783,0.2863,5.4490,34.0,34.0,0,1900.8,3.809,
RND_0735,Random_50M_150M,15,608,8,8,64,16,992,34.8300,589.00,28.71,1.4790,0.1009,0.3320,0.4695,0.2312,0.4911,10.6839,34.0,33.7,0,1900.8,3.818,
RND_0736,Random_50M_150M,17,384,8,8,32,32,1568,35.8000,593.00,27.93,1.4589,0.1184,0.3492,0.6385,0.2308,0.5095,10.5242,33.7,34.0,0,1900.8,3.821,
RND_0737,Random_50M_150M,24,416,2,1,48,64,1792,28.1600,799.00,35.51,1.8999,0.1249,0.3795,0.6135,0.2546,0.7210,15.1185,34.7,34.4,0,1900.8,3.807,
RND_0738,Random_50M_150M,13,576,1,1,16,64,2144,34.9100,719.00,28.65,1.6070,0.1372,0.3081,0.4539,0.1709,0.4951,8.5806,34.4,33.7,0,1900.8,3.809,
RND_0739,Random_50M_150M,14,608,2,2,16,32,1600,34.9100,633.00,28.65,1.5210,0.0951,0.2844,0.4532,0.1893,0.4326,8.9985,34.4,35.1,0,1900.8,3.817,
RND_0740,Random_50M_150M,10,544,16,2,32,48,2464,33.1900,799.00,30.13,1.7330,0.0872,0.2926,0.4250,0.2054,0.5070,11.1235,34.4,34.7,0,1900.8,3.808,
RND_0741,Random_50M_150M,8,640,16,1,48,32,800,50.9900,337.00,19.61,0.9450,0.1040,0.4034,0.6522,0.2994,0.3812,8.8414,34.0,34.4,0,1900.8,3.805,
RND_0742,Random_50M_150M,10,640,16,2,32,48,2432,10.1100,658.00,98.91,3.7243,0.1566,0.4858,0.7791,0.3292,1.8094,38.3135,34.4,35.4,0,1900.8,3.798,
RND_0743,Random_50M_150M,13,544,12,6,16,64,2912,24.7600,1153.00,40.39,2.4050,0.0995,0.3836,0.6360,0.2841,0.9227,21.3557,33.7,34.0,0,1900.8,3.799,
