config_id,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,decode_tok_s,ttft_ms,tpot_ms,duration_s,baseline_power_w,active_power_w,peak_power_w,dynamic_power_w,total_energy_j,dynamic_energy_per_token_mj,temp_cpu_start_c,temp_cpu_end_c,cooling_state,cpu_freq_mhz,voltage_v,notes
RND_1105,Random_50M_150M,27,416,12,2,32,64,864,21.4700,1080.00,46.58,2.5239,0.2367,0.5261,0.8725,0.2894,1.3277,22.8247,39.8,41.5,0,1900.8,4.235,
RND_1106,Random_50M_150M,14,576,6,2,16,64,1984,7.2400,872.00,138.12,5.1538,0.2495,0.6099,1.2317,0.3604,3.1432,58.0461,39.5,41.2,0,1900.8,4.228,
RND_1107,Random_50M_150M,8,544,4,4,64,64,1632,30.0100,565.00,33.32,1.5980,0.2693,0.4204,0.6040,0.1511,0.6718,7.5475,39.5,40.5,0,1900.8,4.218,
RND_1108,Random_50M_150M,23,352,16,1,32,64,1472,20.3900,1120.00,49.04,2.6404,0.2709,0.5848,0.8508,0.3139,1.5440,25.8966,39.8,41.2,0,1900.8,4.202,
RND_1109,Random_50M_150M,27,544,12,3,32,48,2368,10.4600,2526.00,95.60,5.4897,0.2975,0.6401,0.9990,0.3426,3.5141,58.7730,39.8,41.9,0,1900.8,4.189,
RND_1110,Random_50M_150M,19,576,6,2,32,32,1440,18.5600,1104.00,53.88,2.7743,0.2499,0.5119,0.7157,0.2620,1.4201,22.7123,39.8,40.9,0,1900.8,4.175,
RND_1111,Random_50M_150M,27,608,16,2,32,16,832,16.8800,1193.00,59.24,3.0295,0.4461,0.5403,0.7751,0.0942,1.6369,8.9203,39.5,41.5,0,1900.8,4.159,
RND_1112,Random_50M_150M,10,480,16,2,32,64,1728,26.5400,791.00,37.68,1.9590,0.2573,0.4683,0.6814,0.2110,0.9175,12.9175,39.8,41.5,0,1900.8,4.155,
RND_1113,Random_50M_150M,15,480,6,3,32,64,2368,19.7300,1196.00,50.68,2.7672,0.3126,0.5055,0.7607,0.1928,1.3988,16.6763,39.8,41.5,0,1900.8,4.138,
RND_1114,Random_50M_150M,27,544,6,1,32,48,2400,11.0400,2265.00,90.58,5.0730,0.2675,0.6137,0.9956,0.3462,3.1134,54.8901,39.5,41.2,0,1900.8,4.129,
RND_1115,Random_50M_150M,7,448,16,16,16,64,2464,29.0800,673.00,34.39,1.7390,0.3182,0.4419,0.6892,0.1237,0.7684,6.7216,39.8,41.5,0,1900.8,4.112,
RND_1116,Random_50M_150M,22,544,6,2,32,64,1472,15.0200,1274.00,66.58,3.3379,0.2417,0.5529,0.9023,0.3113,1.8456,32.4670,39.5,40.9,0,1900.8,4.100,
RND_1117,Random_50M_150M,17,416,12,4,16,48,2272,20.1800,1138.00,49.55,2.6742,0.2745,0.5503,0.8757,0.2758,1.4715,23.0485,39.8,40.9,0,1900.8,4.090,
RND_1118,Random_50M_150M,20,544,12,3,16,64,1696,15.8600,1459.00,63.05,3.4136,0.2714,0.5451,0.7170,0.2736,1.8607,29.1903,39.8,40.9,0,1900.8,4.078,
RND_1119,Random_50M_150M,6,576,16,16,16,64,3040,23.4100,807.00,42.72,2.1312,0.2771,0.4675,0.6869,0.1904,0.9963,12.6825,39.5,40.5,0,1900.8,4.067,
RND_1120,Random_50M_150M,26,512,4,4,64,48,2112,4.7700,1477.00,209.64,7.9760,0.3159,0.6405,0.8890,0.3246,5.1085,80.9031,39.8,41.2,0,1900.8,4.046,
RND_1121,Random_50M_150M,11,608,16,2,64,64,800,26.5600,755.00,37.65,1.9222,0.2789,0.4557,0.6866,0.1768,0.8760,10.6206,39.8,40.9,0,1900.8,4.036,
RND_1122,Random_50M_150M,22,544,16,2,16,32,1664,15.5600,1564.00,64.27,3.5563,0.2691,0.5571,0.9044,0.2880,1.9811,32.0063,39.8,41.2,0,1900.8,4.025,
RND_1123,Random_50M_150M,21,448,16,16,32,64,704,7.6700,923.00,130.38,4.9647,0.2649,0.6336,0.8362,0.3687,3.1457,57.2105,39.8,40.5,0,1900.8,4.012,
RND_1124,Random_50M_150M,13,640,16,16,32,32,2784,13.6300,1734.00,73.37,4.0084,0.2184,0.5602,0.8839,0.3418,2.2456,42.8197,39.8,41.5,0,1900.8,4.002,
RND_1125,Random_50M_150M,17,640,6,3,48,48,3072,11.2400,2303.00,88.97,5.0610,0.4726,0.5776,0.9172,0.1050,2.9232,16.6042,33.4,35.1,0,1900.8,4.388,
RND_1126,Random_50M_150M,11,576,2,1,32,32,2784,20.9200,1105.00,47.80,2.5868,0.3018,0.5067,0.8233,0.2049,1.3106,16.5617,33.0,34.4,0,1900.8,4.382,
