config_id,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,decode_tok_s,ttft_ms,tpot_ms,duration_s,baseline_power_w,active_power_w,peak_power_w,dynamic_power_w,total_energy_j,dynamic_energy_per_token_mj,temp_cpu_start_c,temp_cpu_end_c,cooling_state,cpu_freq_mhz,voltage_v,notes
RND_0090,Random_50M_150M,26,640,1,1,32,48,2208,8.2700,3285.00,120.92,5.0988,0.2715,0.5839,0.8456,0.3123,2.9771,99.5371,41.9,41.5,0,1900.8,3.918,
RND_0091,Random_50M_150M,24,416,16,1,16,64,1760,17.1800,1431.00,58.21,2.3041,0.2928,0.4966,0.7043,0.2039,1.1443,29.3558,41.9,40.9,0,1900.8,3.915,
RND_0092,Random_50M_150M,12,544,12,1,64,32,1984,21.7700,962.00,45.93,1.6510,0.2659,0.4301,0.6126,0.1643,0.7101,16.9504,42.2,41.5,0,1900.8,3.906,
RND_0093,Random_50M_150M,20,448,1,1,16,32,1504,22.4600,859.00,44.52,1.5269,0.3021,0.4337,0.5811,0.1316,0.6621,12.5578,40.9,40.9,0,1900.8,3.901,
RND_0094,Random_50M_150M,4,608,2,2,64,64,3104,31.1200,486.00,32.13,0.9680,0.2986,0.4016,0.5025,0.1030,0.3888,6.2321,40.9,42.6,0,1900.8,3.887,
RND_0095,Random_50M_150M,25,544,2,2,48,64,2624,12.3200,2215.00,81.17,3.4325,0.2620,0.5230,0.7093,0.2610,1.7951,55.9912,41.9,42.6,0,1900.8,3.876,
RND_0096,Random_50M_150M,16,576,6,6,48,16,2560,14.5600,1554.00,68.68,2.5842,0.2693,0.5006,0.6889,0.2313,1.2938,37.3597,41.2,41.5,0,1900.8,3.882,
RND_0097,Random_50M_150M,18,576,4,2,16,48,2240,6.0700,1188.00,164.74,3.6592,0.2921,0.5593,0.7808,0.2672,2.0465,61.1002,41.5,41.9,0,1900.8,3.872,
RND_0098,Random_50M_150M,4,640,4,1,16,16,3520,10.6100,452.00,94.25,1.8658,0.2844,0.4327,0.5948,0.1483,0.8073,17.2891,42.2,41.5,0,1900.8,3.868,
RND_0099,Random_50M_150M,21,576,1,1,64,16,2560,10.8900,2860.00,91.83,4.2374,0.3063,0.5596,0.7658,0.2532,2.3711,67.0684,41.9,42.2,0,1900.8,3.869,
RND_0100,Random_50M_150M,21,480,2,1,48,16,1536,18.9200,1121.00,52.85,1.9138,0.2787,0.4804,0.6692,0.2017,0.9194,24.1264,41.5,41.9,0,1900.8,3.864,
RND_0101,Random_50M_150M,14,480,16,2,64,48,2080,19.6900,1199.00,50.79,1.9608,0.3031,0.4616,0.6938,0.1584,0.9050,19.4131,41.5,41.9,0,1900.8,3.857,
RND_0102,Random_50M_150M,26,320,6,3,48,16,1184,26.3200,797.00,37.99,1.3669,0.2496,0.4429,0.6916,0.1933,0.6054,16.5124,41.2,41.5,0,1900.8,3.855,
RND_0103,Random_50M_150M,13,640,4,2,64,32,1760,21.7700,1048.00,45.93,1.7370,0.2826,0.4410,0.7510,0.1584,0.7661,17.1968,41.9,41.9,0,1900.8,3.849,
RND_0104,Random_50M_150M,9,640,16,2,64,16,3136,6.7200,968.00,148.81,3.2001,0.2909,0.5117,0.7325,0.2207,1.6375,44.1506,42.2,41.9,0,1900.8,3.848,
RND_0105,Random_50M_150M,19,608,16,4,64,32,2432,9.1400,2170.00,109.41,3.8111,0.3146,0.5376,0.7637,0.2231,2.0489,53.1303,42.6,41.5,0,1900.8,3.838,
RND_0106,Random_50M_150M,25,640,16,4,16,64,1248,13.7700,2177.00,72.62,3.2663,0.2900,0.5183,0.7174,0.2283,1.6930,46.6040,41.5,41.9,0,1900.8,3.830,
RND_0107,Random_50M_150M,6,640,4,1,32,16,2848,27.2200,702.00,36.74,1.2531,0.2830,0.4181,0.5398,0.1351,0.5239,10.5826,42.6,41.2,0,1900.8,3.833,
RND_0108,Random_50M_150M,22,352,1,1,32,64,1856,21.5500,1065.00,46.40,1.7611,0.2620,0.5006,0.7200,0.2386,0.8815,26.2640,41.5,42.2,0,1900.8,3.833,
RND_0109,Random_50M_150M,14,544,16,1,64,16,2496,17.2800,1403.00,57.87,2.2711,0.2676,0.4873,0.7328,0.2198,1.1068,31.1959,42.2,41.9,0,1900.8,3.827,
