config_id,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,decode_tok_s,ttft_ms,tpot_ms,duration_s,baseline_power_w,active_power_w,peak_power_w,dynamic_power_w,total_energy_j,dynamic_energy_per_token_mj,temp_cpu_start_c,temp_cpu_end_c,cooling_state,cpu_freq_mhz,voltage_v,notes
AL_b522fdf5686a5fc3,ActiveLearningCoverage,9,640,16,4,64,64,1504,20.5000,915.00,48.78,2.4272,0.2410,0.4939,0.9689,0.2529,1.1989,19.1818,43.2,43.6,0,1900.8,4.043,
AL_f23fdaee59b9cca4,ActiveLearningCoverage,7,608,12,3,64,64,2592,24.0500,884.00,41.58,2.1730,0.2636,0.4722,0.6660,0.2086,1.0261,14.1674,44.3,43.9,0,1900.8,4.034,
AL_b29d4ddf7a40ca61,ActiveLearningCoverage,7,608,8,8,64,32,2784,24.2200,852.00,41.29,2.1319,0.2527,0.4763,0.8370,0.2236,1.0154,14.8968,43.6,44.6,0,1900.8,4.032,
AL_dfb5628cae70c797,ActiveLearningCoverage,8,608,8,4,48,16,2592,21.9700,843.00,45.52,2.2540,0.2849,0.5032,0.8510,0.2183,1.1343,15.3750,43.6,44.3,0,1900.8,4.027,
AL_6d2ad590be563cd4,ActiveLearningCoverage,10,544,16,16,16,32,1056,27.8000,571.00,35.97,1.6861,0.2889,0.4295,0.6599,0.1407,0.7242,7.4115,44.6,44.3,0,1900.8,4.017,
AL_f233da52af87f9e3,ActiveLearningCoverage,3,640,12,12,64,64,2976,27.3400,468.00,36.58,1.6019,0.2567,0.4365,0.6326,0.1798,0.6993,9.0020,43.9,43.9,0,1900.8,4.017,
AL_2b3db2271754a9ea,ActiveLearningCoverage,28,544,16,8,64,32,960,12.7800,1793.00,78.25,4.2187,0.2445,0.5873,1.1081,0.3428,2.4777,45.1946,43.9,45.0,0,1900.8,4.009,
AL_e3b0ac2cdab36f46,ActiveLearningCoverage,18,640,16,1,32,32,2560,3.4600,1561.00,289.02,10.5205,0.2721,0.6102,0.8323,0.3381,6.4195,111.1607,44.6,43.6,0,1363.2,3.999,
AL_66c8a520af36cbfb,ActiveLearningCoverage,12,544,12,2,32,64,736,31.4700,577.00,31.78,1.5621,0.2827,0.4353,0.6237,0.1526,0.6800,7.4511,44.3,44.6,0,1900.8,3.989,
AL_3bfdba9a01dd5045,ActiveLearningCoverage,17,512,12,6,32,48,1696,17.9800,1226.00,55.62,2.9501,0.2739,0.5243,0.7242,0.2504,1.5467,23.0837,44.6,44.6,0,1900.8,3.981,
