config_id,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,decode_tok_s,ttft_ms,tpot_ms,duration_s,baseline_power_w,active_power_w,peak_power_w,dynamic_power_w,total_energy_j,dynamic_energy_per_token_mj,temp_cpu_start_c,temp_cpu_end_c,cooling_state,cpu_freq_mhz,voltage_v,notes
AL_52a99492e95afdcf,ActiveLearningCoverage,3,640,2,1,32,16,3264,36.8600,421.00,27.13,1.2620,0.3411,0.4163,0.5382,0.0752,0.5254,2.9671,36.8,36.8,0,1900.8,4.411,
AL_f8907b503435011e,ActiveLearningCoverage,9,608,16,16,32,16,1408,26.4700,718.00,37.78,1.8891,0.2591,0.4513,0.9251,0.1922,0.8526,11.3454,37.1,37.8,0,1900.8,4.399,
AL_e4bfacde48f6f811,ActiveLearningCoverage,4,640,8,4,32,48,3072,11.3500,489.00,88.11,3.2203,0.2852,0.5212,0.8437,0.2360,1.6784,23.7464,37.8,37.8,0,1900.8,4.396,
AL_2a953e5f83925a51,ActiveLearningCoverage,25,416,16,16,32,64,1312,13.6500,1637.00,73.26,3.9081,0.2698,0.6160,0.9090,0.3462,2.4073,42.2782,37.8,39.2,0,1900.8,4.388,
AL_c0d56a9c5b550b7e,ActiveLearningCoverage,6,576,16,16,16,16,2176,11.5100,476.00,86.88,3.1693,0.2545,0.5702,0.8162,0.3157,1.8071,31.2647,39.2,39.2,0,1900.8,4.388,
AL_b7461d0c2029c7e4,ActiveLearningCoverage,4,608,6,1,16,32,3072,32.3900,504.00,30.87,1.4611,0.2586,0.4320,0.6119,0.1734,0.6313,7.9178,39.5,40.2,0,1900.8,4.383,
AL_747639dc615db056,ActiveLearningCoverage,3,640,2,2,32,48,3296,33.7300,416.00,29.65,1.3351,0.2945,0.4934,0.7321,0.1989,0.6588,8.2981,39.2,40.5,0,1900.8,4.381,
AL_de4461c67525b038,ActiveLearningCoverage,7,640,8,8,64,64,1024,11.2200,462.00,89.13,3.2249,0.2955,0.5728,0.9027,0.2773,1.8472,27.9413,40.2,41.2,0,1900.8,4.369,
AL_49f22399c67a351f,ActiveLearningCoverage,4,608,8,8,48,32,2848,28.4100,469.00,35.20,1.5602,0.2632,0.4467,0.5972,0.1835,0.6970,8.9473,39.5,40.5,0,1900.8,4.370,
AL_ad52c24f8cb7d8b1,ActiveLearningCoverage,22,608,16,4,48,64,1728,11.6800,2207.00,85.62,4.8611,0.2595,0.5921,0.8818,0.3326,2.8783,50.5326,40.9,40.9,0,1900.8,4.365,
