config_id,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,decode_tok_s,ttft_ms,tpot_ms,duration_s,baseline_power_w,active_power_w,peak_power_w,dynamic_power_w,total_energy_j,dynamic_energy_per_token_mj,temp_cpu_start_c,temp_cpu_end_c,cooling_state,cpu_freq_mhz,voltage_v,notes
AL_3f70104d7b5a58b9,ActiveLearningCoverage,11,416,6,1,64,16,2048,43.0600,438.00,23.22,1.1579,0.1218,0.3281,0.4625,0.2062,0.3799,7.4625,41.5,40.5,0,1900.8,3.872,
AL_6c0c15dfa1a3247c,ActiveLearningCoverage,13,576,2,2,16,32,1216,14.5500,335.00,68.73,2.4656,0.1137,0.4126,0.7274,0.2990,1.0174,23.0344,41.2,41.5,0,1900.8,3.872,
AL_b8a0e484eb626266,ActiveLearningCoverage,18,448,2,1,16,32,2112,10.2700,574.00,97.37,3.5925,0.1454,0.5366,0.8926,0.3912,1.9278,43.9158,40.5,41.5,0,1900.8,3.864,
AL_42885b0ca6ec6a41,ActiveLearningCoverage,26,416,8,1,64,64,2016,22.5100,1245.00,44.42,2.6222,0.1080,0.4739,0.7276,0.3659,1.2427,29.9823,41.5,41.2,0,1900.8,3.866,
AL_94d7f1cd0ce8357a,ActiveLearningCoverage,27,480,1,1,16,16,2144,18.5600,1836.00,53.88,3.5063,0.1298,0.4904,0.6995,0.3606,1.7194,39.5144,41.2,40.2,0,1900.8,3.858,
AL_c537b96f0f1c4717,ActiveLearningCoverage,27,640,8,1,16,64,1664,6.7900,1264.00,147.28,5.8295,0.1184,0.5345,0.8092,0.4160,3.1156,75.7888,41.2,41.5,0,1900.8,3.856,
AL_a12a3d3c4263e76f,ActiveLearningCoverage,27,352,16,16,64,16,1248,23.0500,932.00,43.38,2.2769,0.1246,0.4813,0.8205,0.3567,1.0958,25.3810,40.5,40.9,0,1900.8,3.853,
AL_fad20a31ef00dbe6,ActiveLearningCoverage,24,448,2,1,32,64,1024,13.9400,384.00,71.74,2.6078,0.1270,0.4718,0.7172,0.3449,1.2305,28.1043,40.5,41.2,0,1900.8,3.848,
AL_12e69245865bebd9,ActiveLearningCoverage,11,480,1,1,32,48,2176,30.4200,764.00,32.87,1.7831,0.0952,0.3045,0.5832,0.2093,0.5430,11.6625,40.2,40.2,0,1900.8,3.849,
AL_ad740f9ef516db0c,ActiveLearningCoverage,25,384,8,2,48,48,1728,10.2600,638.00,97.47,3.6594,0.1201,0.5491,0.7822,0.4289,2.0092,49.0518,40.5,40.5,0,1900.8,3.847,
