config_id,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,decode_tok_s,ttft_ms,tpot_ms,duration_s,baseline_power_w,active_power_w,peak_power_w,dynamic_power_w,total_energy_j,dynamic_energy_per_token_mj,temp_cpu_start_c,temp_cpu_end_c,cooling_state,cpu_freq_mhz,voltage_v,notes
AL_e197f35af01988eb,ActiveLearningCoverage,3,608,12,2,64,32,3264,37.1700,421.00,26.90,1.2550,0.2790,0.4253,0.5377,0.1462,0.5337,5.7343,40.9,41.5,0,1900.8,4.356,
AL_9072aada2d6f38b1,ActiveLearningCoverage,16,416,8,8,16,32,1632,23.7500,801.00,42.11,2.1063,0.2705,0.5137,0.7670,0.2431,1.0819,16.0012,41.5,41.9,0,1900.8,4.353,
AL_a9d508e142f8b0ab,ActiveLearningCoverage,28,480,16,16,64,64,1088,9.8100,2225.00,101.94,5.3850,0.2936,0.6521,0.9762,0.3585,3.5117,60.3317,41.9,42.9,0,1900.8,4.344,
AL_cce3ba56c662baa7,ActiveLearningCoverage,28,384,6,1,32,32,2048,6.3800,1196.00,156.74,6.0549,0.2669,0.6571,0.8276,0.3901,3.9785,73.8178,41.9,42.2,0,1900.8,4.337,
AL_f381deb4ad7eb3d6,ActiveLearningCoverage,24,576,1,1,16,16,1728,12.6900,2264.00,78.80,4.7069,0.2657,0.5953,0.9079,0.3296,2.8020,48.4815,41.9,41.9,0,1900.8,4.330,
AL_f52ffe32f062c367,ActiveLearningCoverage,28,416,16,16,64,32,1600,10.4600,2067.00,95.60,5.0307,0.2903,0.6420,0.8939,0.3517,3.2296,55.2846,43.2,42.9,0,1900.8,4.322,
AL_8b0288264092a7cc,ActiveLearningCoverage,20,480,16,16,48,48,2528,11.5700,2176.00,86.43,4.8553,0.2833,0.6362,0.9670,0.3530,3.0892,53.5536,43.2,43.9,0,1900.8,4.306,
AL_4ee95dccf12e536c,ActiveLearningCoverage,27,416,16,4,32,48,512,20.3000,829.00,49.26,2.3561,0.3610,0.6077,0.8084,0.2468,1.4319,18.1709,43.6,42.9,0,1900.8,4.308,
AL_414f60de35f22c54,ActiveLearningCoverage,16,416,6,1,16,32,1344,28.5700,609.00,35.00,1.6941,0.2781,0.4866,0.7059,0.2084,0.8243,11.0347,43.6,43.6,0,1900.8,4.300,
AL_f0ac5a1436308af3,ActiveLearningCoverage,16,384,8,4,48,64,1280,10.7400,554.00,93.11,3.4404,0.2793,0.5965,0.8243,0.3172,2.0521,34.1004,43.2,44.6,0,1900.8,4.292,
