config_id,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,decode_tok_s,ttft_ms,tpot_ms,duration_s,baseline_power_w,active_power_w,peak_power_w,dynamic_power_w,total_energy_j,dynamic_energy_per_token_mj,temp_cpu_start_c,temp_cpu_end_c,cooling_state,cpu_freq_mhz,voltage_v,notes
AL_831e249f30f96646,ActiveLearningCoverage,26,640,1,1,16,16,1184,14.5500,1889.00,68.73,4.0196,0.3073,0.5649,0.9891,0.2576,2.2707,32.3553,44.3,43.9,0,1900.8,3.973,
AL_c18d97d600a6e9c5,ActiveLearningCoverage,24,448,12,6,48,32,1280,7.0200,1028.00,142.45,5.4440,0.2779,0.6478,0.9243,0.3699,3.5267,62.9302,44.6,45.0,0,1900.8,3.955,
AL_85cba25d7c0e3468,ActiveLearningCoverage,9,544,1,1,48,48,1504,25.7700,701.00,38.80,1.9039,0.2379,0.4739,0.7412,0.2360,0.9022,14.0419,44.6,44.3,0,1900.8,3.962,
AL_aff9684db5a827f4,ActiveLearningCoverage,13,416,1,1,16,48,1824,24.1100,983.00,41.48,2.2688,0.2708,0.5564,0.8168,0.2856,1.2624,20.2504,43.9,43.9,0,1900.8,3.953,
AL_0f0b60fa1bd674b3,ActiveLearningCoverage,24,448,2,1,16,32,960,9.7100,574.00,102.99,3.7666,0.2694,0.5820,0.8150,0.3125,2.1920,36.7869,43.9,43.9,0,1900.8,3.946,
AL_ba3ac9b75713f243,ActiveLearningCoverage,28,384,16,16,48,64,992,11.8100,1640.00,84.67,4.2649,0.3937,0.6920,0.9855,0.2983,2.9513,39.7530,43.9,43.9,0,1363.2,3.942,
AL_141a8130dc5734cb,ActiveLearningCoverage,23,288,16,16,16,64,1120,19.1400,959.00,52.25,2.5786,0.2861,0.6183,1.4447,0.3322,1.5944,26.7690,43.6,45.0,0,1900.8,3.935,
AL_8d974446b21bddb6,ActiveLearningCoverage,3,640,6,2,32,64,3360,31.8600,447.00,31.39,1.4200,0.3617,0.4301,0.6060,0.0685,0.6108,3.0387,43.9,45.0,0,1900.8,3.930,
AL_1efe2dda6d4bb6f5,ActiveLearningCoverage,23,608,4,2,32,16,2272,11.9400,2041.00,83.75,4.6373,0.2822,0.5797,0.8602,0.2975,2.6884,43.1122,43.6,44.3,0,1900.8,3.916,
AL_3a2878291a7034fb,ActiveLearningCoverage,20,640,8,8,16,32,2112,3.8900,1482.00,257.07,9.4512,0.2550,0.6224,0.8694,0.3674,5.8825,108.5010,44.3,43.9,0,1363.2,3.911,
