config_id,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,decode_tok_s,ttft_ms,tpot_ms,duration_s,baseline_power_w,active_power_w,peak_power_w,dynamic_power_w,total_energy_j,dynamic_energy_per_token_mj,temp_cpu_start_c,temp_cpu_end_c,cooling_state,cpu_freq_mhz,voltage_v,notes
AL_36ea08e32688b48f,ActiveLearningCoverage,22,640,2,1,16,16,864,23.9000,914.00,41.84,2.2111,0.2821,0.4569,0.6939,0.1748,1.0103,12.0777,43.9,44.3,0,1900.8,3.903,
AL_6018bef062830595,ActiveLearningCoverage,27,352,12,1,16,16,1824,18.8700,1287.00,52.99,2.9298,0.2721,0.6005,0.8769,0.3285,1.7595,30.0745,44.6,45.0,0,1900.8,3.901,
AL_232fd6a916251b48,ActiveLearningCoverage,9,640,6,1,32,64,3136,6.4600,902.00,154.80,5.7008,0.2606,0.6141,0.9034,0.3535,3.5009,62.9799,43.6,45.0,0,1900.8,3.891,
AL_8d70227a9509ce5c,ActiveLearningCoverage,27,320,12,12,32,32,832,9.4900,710.00,105.37,3.9766,0.2633,0.6383,0.8673,0.3750,2.5383,46.6038,44.3,45.0,0,1900.8,3.892,
AL_a316f81a5d712d79,ActiveLearningCoverage,12,608,2,1,48,16,2240,30.6300,778.00,32.65,1.7901,0.1211,0.2813,0.4549,0.1601,0.5035,8.9579,44.6,42.2,0,1900.8,3.890,
AL_fbc60856ff8488b8,ActiveLearningCoverage,24,544,6,1,16,16,1472,27.9300,896.00,35.80,2.0059,0.1353,0.2947,0.4098,0.1593,0.5911,9.9887,42.2,41.9,0,1900.8,3.884,
AL_22e776e3d3f3fbe9,ActiveLearningCoverage,17,384,16,1,64,64,960,15.7300,417.00,63.57,2.3878,0.1115,0.4646,0.8012,0.3531,1.1095,26.3502,41.9,41.5,0,1900.8,3.889,
AL_9be766fc3046f647,ActiveLearningCoverage,14,544,6,1,16,16,960,42.5200,348.00,23.52,1.0771,0.1090,0.3365,0.5672,0.2275,0.3625,7.6564,41.9,42.6,0,1900.8,3.876,
AL_2fa79e8249ca2dc7,ActiveLearningCoverage,15,544,16,1,16,48,2176,28.2100,919.00,35.45,2.0179,0.1138,0.3652,0.7223,0.2514,0.7370,15.8544,40.9,42.2,0,1900.8,3.877,
AL_aa2ce74db90776b9,ActiveLearningCoverage,25,384,2,1,16,16,1760,32.5300,721.00,30.74,1.6740,0.1045,0.3723,0.6000,0.2678,0.6232,14.0095,41.9,41.5,0,1900.8,3.877,
