config_id,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,decode_tok_s,ttft_ms,tpot_ms,duration_s,baseline_power_w,active_power_w,peak_power_w,dynamic_power_w,total_energy_j,dynamic_energy_per_token_mj,temp_cpu_start_c,temp_cpu_end_c,cooling_state,cpu_freq_mhz,voltage_v,notes
AL_97629e0f4286dc45,ActiveLearningCoverage,6,576,6,6,64,32,2368,10.9500,520.00,91.32,3.3511,0.2968,0.5622,0.8468,0.2654,1.8839,27.7946,42.2,43.9,0,1900.8,4.296,
AL_af0134d1fa6eef66,ActiveLearningCoverage,26,448,6,6,48,64,576,8.9600,612.00,111.61,4.0718,0.2745,0.6044,0.8103,0.3300,2.4612,41.9891,43.6,43.2,0,1900.8,4.280,
AL_fe4965b037df7664,ActiveLearningCoverage,21,608,1,1,16,48,2816,8.6900,3332.00,115.07,6.8993,0.5543,0.8114,1.5482,0.2571,5.5983,55.4335,43.2,44.3,0,1900.8,4.262,
AL_e77cde6fee66374b,ActiveLearningCoverage,26,544,1,1,32,64,768,24.4100,792.00,40.97,2.0620,0.3305,0.4716,0.6958,0.1411,0.9725,9.0943,43.9,43.6,0,1900.8,4.264,
AL_b4f47b421a3e95af,ActiveLearningCoverage,16,448,12,4,64,16,1344,9.4200,647.00,106.16,3.9379,0.2795,0.6180,0.8137,0.3385,2.4337,41.6540,42.6,43.9,0,1900.8,4.256,
AL_94686ca74d707470,ActiveLearningCoverage,28,512,6,6,48,64,1248,13.5800,1571.00,73.64,3.8538,0.2973,0.6005,0.9337,0.3032,2.3142,36.5190,43.6,44.3,0,1900.8,4.245,
AL_2d25c1a096f28ef2,ActiveLearningCoverage,4,608,4,1,48,16,2816,34.6800,456.00,28.84,1.3499,0.2457,0.4278,0.5538,0.1821,0.5774,7.6813,44.3,44.3,0,1900.8,4.245,
AL_b115493165e84933,ActiveLearningCoverage,28,512,6,6,32,48,1952,11.6900,2031.00,85.54,4.6828,0.2442,0.6344,0.9003,0.3902,2.9708,57.1052,43.9,43.2,0,1900.8,4.229,
AL_b9b93eb4ce23cd64,ActiveLearningCoverage,28,480,4,4,64,48,2528,10.1000,2363.00,99.01,5.4323,0.3014,0.6406,0.9456,0.3392,3.4799,57.5812,44.3,44.6,0,1900.8,4.220,
AL_a196d6c3c192018b,ActiveLearningCoverage,19,544,12,12,64,64,2656,10.1200,2396.00,98.81,5.4592,0.2850,0.6499,1.0207,0.3648,3.5478,62.2392,44.3,45.0,0,1900.8,4.207,
