config_id,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,decode_tok_s,ttft_ms,tpot_ms,duration_s,baseline_power_w,active_power_w,peak_power_w,dynamic_power_w,total_energy_j,dynamic_energy_per_token_mj,temp_cpu_start_c,temp_cpu_end_c,cooling_state,cpu_freq_mhz,voltage_v,notes
AL_6fa4e52cc4f086ac,ActiveLearningCoverage,4,640,16,4,64,48,1984,11.4300,374.00,87.49,3.0862,0.2491,0.5372,0.7665,0.2882,1.6580,27.7912,44.3,44.6,0,1900.8,4.203,
AL_49039c4d3e71c74b,ActiveLearningCoverage,20,608,8,8,16,64,1216,16.0000,1295.00,62.50,3.2325,0.2702,0.5242,0.8300,0.2540,1.6945,25.6530,44.6,45.0,0,1900.8,4.193,
AL_783e62435a14b007,ActiveLearningCoverage,10,576,12,3,32,32,1152,10.8400,485.00,92.25,3.3448,0.2622,0.5659,0.8136,0.3036,1.8927,31.7358,43.9,43.9,0,1900.8,4.187,
AL_411068d69a7b296f,ActiveLearningCoverage,15,608,16,8,32,32,2496,14.8900,1711.00,67.16,3.7929,0.2948,0.5862,1.1835,0.2914,2.2233,34.5386,43.2,45.0,0,1900.8,4.172,
AL_57a67f35f7905aef,ActiveLearningCoverage,16,544,1,1,32,16,1440,19.9400,1266.00,50.15,2.8207,0.2570,0.5636,0.8742,0.3066,1.5898,27.0290,43.9,44.6,0,1900.8,4.166,
AL_331b304a1f28522a,ActiveLearningCoverage,22,480,12,4,32,48,2144,14.1600,1702.00,70.62,3.8913,0.3307,0.5752,0.8838,0.2445,2.2384,29.7377,43.6,43.9,0,1363.2,4.164,
AL_61804c9db4634f33,ActiveLearningCoverage,28,544,6,2,32,64,2400,10.1000,2388.00,99.01,5.4573,0.2796,0.6361,0.9527,0.3565,3.4717,60.8037,43.9,44.6,0,1900.8,4.150,
AL_f4f03c36c8ea91d9,ActiveLearningCoverage,14,608,12,1,48,64,2752,14.4200,1673.00,69.35,3.8228,0.2723,0.5544,0.8880,0.2821,2.1192,33.6997,43.6,44.6,0,1900.8,4.138,
AL_27818f664d123c58,ActiveLearningCoverage,15,576,12,12,32,48,2592,14.4700,1756.00,69.11,3.8984,0.2836,0.5713,0.8959,0.2877,2.2270,35.0449,44.3,43.6,0,1363.2,4.131,
AL_7d074e9b2e1f5b44,ActiveLearningCoverage,17,448,16,2,48,16,832,10.0600,491.00,99.40,3.5725,0.2336,0.5843,0.7889,0.3507,2.0873,39.1476,44.6,44.6,0,1900.8,4.119,
