target,candidate,features,params,cv_mape
ttft_ms,1,baseline,"{""max_depth"": 2, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",20.082366466522217
ttft_ms,2,baseline,"{""max_depth"": 2, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",19.74972089131673
ttft_ms,3,baseline,"{""max_depth"": 2, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",20.137996474901836
ttft_ms,4,baseline,"{""max_depth"": 4, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",19.66925909121831
ttft_ms,5,baseline,"{""max_depth"": 4, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",20.116446912288666
ttft_ms,6,baseline,"{""max_depth"": 4, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",19.551539421081543
ttft_ms,7,baseline,"{""max_depth"": 4, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",19.969327251116436
ttft_ms,8,baseline,"{""max_depth"": 6, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",20.11447250843048
ttft_ms,9,baseline,"{""max_depth"": 6, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",20.133964717388153
ttft_ms,10,baseline,"{""max_depth"": 6, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",19.809962312380474
ttft_ms,11,baseline,"{""max_depth"": 6, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",19.87901230653127
ttft_ms,12,physics,"{""max_depth"": 2, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",19.512284795443218
ttft_ms,13,physics,"{""max_depth"": 2, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",20.27078817288081
ttft_ms,14,physics,"{""max_depth"": 2, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",19.553982714811962
ttft_ms,15,physics,"{""max_depth"": 2, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",20.29709219932556
ttft_ms,16,physics,"{""max_depth"": 4, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",19.15955940882365
ttft_ms,17,physics,"{""max_depth"": 4, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",19.51785683631897
ttft_ms,18,physics,"{""max_depth"": 4, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",19.229699671268463
ttft_ms,19,physics,"{""max_depth"": 4, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",19.86767699321111
ttft_ms,20,physics,"{""max_depth"": 6, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",19.400616486867268
ttft_ms,21,physics,"{""max_depth"": 6, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",19.381543000539143
ttft_ms,22,physics,"{""max_depth"": 6, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",19.195690751075745
ttft_ms,23,physics,"{""max_depth"": 6, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",19.88526980082194
ttft_ms,24,baseline,"{""max_depth"": 2, ""min_child_weight"": 3, ""reg_lambda"": 5, ""subsample"": 0.85, ""colsample_bytree"": 0.9, ""objective"": ""reg:squarederror""}",19.315383831659954
dynamic_energy_per_token_mj,0,baseline,"{""max_depth"": 2, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",34.79983707269033
dynamic_energy_per_token_mj,1,baseline,"{""max_depth"": 2, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",34.856737653414406
dynamic_energy_per_token_mj,2,baseline,"{""max_depth"": 2, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",34.76376831531525
dynamic_energy_per_token_mj,3,baseline,"{""max_depth"": 2, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",34.720917542775474
dynamic_energy_per_token_mj,4,baseline,"{""max_depth"": 4, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",34.86280540625254
dynamic_energy_per_token_mj,5,baseline,"{""max_depth"": 4, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",36.034165819485985
dynamic_energy_per_token_mj,6,baseline,"{""max_depth"": 4, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",34.56111351648966
dynamic_energy_per_token_mj,7,baseline,"{""max_depth"": 4, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",35.640295346577965
dynamic_energy_per_token_mj,8,baseline,"{""max_depth"": 6, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",36.208330591519676
dynamic_energy_per_token_mj,9,baseline,"{""max_depth"": 6, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",36.548587679862976
dynamic_energy_per_token_mj,10,baseline,"{""max_depth"": 6, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",35.56251327196757
