variant,seed,target,mae,mape,r2,spearman
baseline,42,tpot_ms,12.945700645446777,23.364253342151642,0.78313809633255,0.8175564447195505
optimized,42,tpot_ms,12.660948753356934,23.089924454689026,0.754020631313324,0.8058375823619823
baseline,123,tpot_ms,13.0352201461792,23.469150066375732,0.778344988822937,0.8163391911434121
optimized,123,tpot_ms,12.8763427734375,23.520667850971222,0.7574458718299866,0.7995143627824256
baseline,2026,tpot_ms,12.96984577178955,23.323939740657806,0.7789776921272278,0.8173581521958717
optimized,2026,tpot_ms,12.804494857788086,23.41753840446472,0.7538870573043823,0.8008806125307173
baseline,42,ttft_ms,202.07980346679688,19.86410617828369,0.7355303764343262,0.8637624361551436
optimized,42,ttft_ms,206.09593200683594,20.136120915412903,0.7096712589263916,0.8643250113589512
baseline,123,ttft_ms,200.5694580078125,19.77407932281494,0.7409157752990723,0.8654628039059782
optimized,123,ttft_ms,208.98573303222656,20.339125394821167,0.6999387741088867,0.8641561484968131
baseline,2026,ttft_ms,198.79588317871094,19.4959357380867,0.7456037998199463,0.8707526362396953
optimized,2026,ttft_ms,205.75747680664062,20.109108090400696,0.7160882353782654,0.8672823689712633
baseline,42,dynamic_energy_per_token_mj,6.242725849151611,28.139707446098328,0.7609075307846069,0.8586075306976432
optimized,42,dynamic_energy_per_token_mj,6.551531791687012,29.566428065299988,0.7526125907897949,0.8520434562357355
baseline,123,dynamic_energy_per_token_mj,6.320976257324219,28.198328614234924,0.7580209374427795,0.8584576319244653
optimized,123,dynamic_energy_per_token_mj,6.471689224243164,29.122623801231384,0.7562892436981201,0.8524655446826417
baseline,2026,dynamic_energy_per_token_mj,6.249535083770752,27.863234281539917,0.7647489309310913,0.8616669104779241
optimized,2026,dynamic_energy_per_token_mj,6.477743148803711,29.16869819164276,0.75691819190979,0.8513594967011834
