model,seed,target,mae,mape_percent,r2,spearman
xgboost,42,tpot_ms,12.945700645446777,23.364253342151642,0.78313809633255,0.8175564447195505
xgboost,42,ttft_ms,202.07980346679688,19.86410617828369,0.7355303764343262,0.8637624361551436
xgboost,42,dynamic_energy_per_token_mj,6.242725849151611,28.139707446098328,0.7609075307846069,0.8586075306976432
xgboost,123,tpot_ms,13.0352201461792,23.469150066375732,0.778344988822937,0.8163391911434121
xgboost,123,ttft_ms,200.5694580078125,19.77407932281494,0.7409157752990723,0.8654628039059782
xgboost,123,dynamic_energy_per_token_mj,6.320976257324219,28.198328614234924,0.7580209374427795,0.8584576319244653
xgboost,2026,tpot_ms,12.96984577178955,23.323939740657806,0.7789776921272278,0.8173581521958717
xgboost,2026,ttft_ms,198.79588317871094,19.4959357380867,0.7456037998199463,0.8707526362396953
xgboost,2026,dynamic_energy_per_token_mj,6.249535083770752,27.863234281539917,0.7647489309310913,0.8616669104779241
transformer,42,tpot_ms,14.12816333770752,24.18615221977234,0.6983760595321655,0.8296666729907608
transformer,42,ttft_ms,194.818359375,19.733595848083496,0.7500952482223511,0.8772272176382533
transformer,42,dynamic_energy_per_token_mj,7.102776527404785,29.443135857582092,0.6488451957702637,0.8573180400464505
transformer,123,tpot_ms,14.006451606750488,24.496500194072723,0.7075140476226807,0.8285297870468747
transformer,123,ttft_ms,192.3087615966797,19.460853934288025,0.754711389541626,0.87875872252695
transformer,123,dynamic_energy_per_token_mj,6.9620161056518555,30.174043774604797,0.676722526550293,0.8591457214736314
transformer,2026,tpot_ms,13.619574546813965,23.225313425064087,0.7399951219558716,0.8285361080966025
transformer,2026,ttft_ms,194.01873779296875,19.259437918663025,0.7551066279411316,0.8804301939591298
transformer,2026,dynamic_energy_per_token_mj,6.726341724395752,28.305241465568542,0.7128088474273682,0.8596315379794727
