model,split_seed,training_seed,n_train,partition,target,mape,mae,log_rmse,r2,spearman
transformer,20260909,42,120,train,tpot_ms,18.656054139137268,11.134051322937012,0.24750728905200958,0.7904172539710999,0.884251976711966
transformer,20260909,42,120,train,ttft_ms,20.40703594684601,190.89215087890625,0.23973074555397034,0.7515258193016052,0.8835605497855261
transformer,20260909,42,120,train,dynamic_energy_per_token_mj,27.015534043312073,6.065338134765625,0.33996787667274475,0.7816261053085327,0.9008750607681087
transformer,20260909,42,120,test,tpot_ms,24.725626409053802,14.404855728149414,0.3222905695438385,0.6779558658599854,0.8118927841635122
transformer,20260909,42,120,test,ttft_ms,22.94580638408661,235.57266235351562,0.2856222093105316,0.5713945627212524,0.8186354165161572
transformer,20260909,42,120,test,dynamic_energy_per_token_mj,30.96832036972046,7.30117130279541,0.46072909235954285,0.6599351167678833,0.8336647360427084
xgboost,20260909,42,120,train,tpot_ms,16.686438024044037,9.357242584228516,0.184956893324852,0.868035614490509,0.9235083113754942
xgboost,20260909,42,120,train,ttft_ms,13.599500060081482,133.58786010742188,0.15400202572345734,0.8804975152015686,0.9537950815917329
xgboost,20260909,42,120,train,dynamic_energy_per_token_mj,16.127999126911163,3.645512819290161,0.20468689501285553,0.90741366147995,0.9585318424890616
xgboost,20260909,42,120,test,tpot_ms,23.979732394218445,13.539924621582031,0.26674988865852356,0.739187479019165,0.8084794173105425
xgboost,20260909,42,120,test,ttft_ms,22.470632195472717,229.22976684570312,0.26753196120262146,0.6132668852806091,0.8138404336394008
xgboost,20260909,42,120,test,dynamic_energy_per_token_mj,28.71500253677368,6.493462562561035,0.3703683018684387,0.723605751991272,0.8460395118718022
transformer,20260909,42,240,train,tpot_ms,20.326095819473267,11.85342025756836,0.2342209368944168,0.7881473302841187,0.8768969012002219
transformer,20260909,42,240,train,ttft_ms,16.969677805900574,164.62774658203125,0.19262132048606873,0.8224330544471741,0.9146285541509844
transformer,20260909,42,240,train,dynamic_energy_per_token_mj,27.635201811790466,5.960751533508301,0.35489732027053833,0.7915014624595642,0.8727764370909216
transformer,20260909,42,240,test,tpot_ms,24.823546409606934,14.778132438659668,0.27435994148254395,0.6440252065658569,0.8261106310153654
transformer,20260909,42,240,test,ttft_ms,20.083999633789062,202.4355010986328,0.23206837475299835,0.7190216779708862,0.8575416005547718
transformer,20260909,42,240,test,dynamic_energy_per_token_mj,30.763688683509827,7.504477500915527,0.3856172561645508,0.6387810707092285,0.8432708995913001
xgboost,20260909,42,240,train,tpot_ms,18.172742426395416,10.027365684509277,0.20110489428043365,0.8567026853561401,0.8979157357508344
xgboost,20260909,42,240,train,ttft_ms,15.22979736328125,148.21127319335938,0.1673431545495987,0.8635057806968689,0.9341721539931106
xgboost,20260909,42,240,train,dynamic_energy_per_token_mj,21.72149121761322,4.476531505584717,0.27013880014419556,0.8840129375457764,0.9258303095539849
xgboost,20260909,42,240,test,tpot_ms,23.96078258752823,13.583610534667969,0.26250922679901123,0.7377857565879822,0.8148248482300708
xgboost,20260909,42,240,test,ttft_ms,21.08783721923828,212.63394165039062,0.23858097195625305,0.7020717859268188,0.848236082938016
xgboost,20260909,42,240,test,dynamic_energy_per_token_mj,29.776668548583984,6.5591912269592285,0.35302895307540894,0.7359033823013306,0.8508561387159633
transformer,20260909,42,360,train,tpot_ms,21.020719408988953,11.650724411010742,0.2339743673801422,0.8247994780540466,0.8673764772296078
transformer,20260909,42,360,train,ttft_ms,17.99953728914261,164.35594177246094,0.1961410492658615,0.8184528946876526,0.9087276548187727
transformer,20260909,42,360,train,dynamic_energy_per_token_mj,27.573361992836,5.770260810852051,0.33603736758232117,0.8215481638908386,0.8796902290713571
transformer,20260909,42,360,test,tpot_ms,24.276770651340485,13.989060401916504,0.2600594460964203,0.6935855746269226,0.8293849347743251
transformer,20260909,42,360,test,ttft_ms,19.822949171066284,191.79388427734375,0.2190752476453781,0.7410984635353088,0.8739339403215809
transformer,20260909,42,360,test,dynamic_energy_per_token_mj,30.243030190467834,7.227580547332764,0.35866057872772217,0.6470068693161011,0.8530323799410157
xgboost,20260909,42,360,train,tpot_ms,19.929414987564087,10.896552085876465,0.21413153409957886,0.8635712265968323,0.8839869062522717
xgboost,20260909,42,360,train,ttft_ms,15.770833194255829,149.36532592773438,0.17232505977153778,0.8551162481307983,0.92760747747134
xgboost,20260909,42,360,train,dynamic_energy_per_token_mj,22.970466315746307,4.813113212585449,0.27948951721191406,0.8734515905380249,0.9161586198040783
xgboost,20260909,42,360,test,tpot_ms,23.51413518190384,13.162345886230469,0.2535829544067383,0.7675524950027466,0.819676705399649
xgboost,20260909,42,360,test,ttft_ms,20.613771677017212,207.599609375,0.22899118065834045,0.7154109477996826,0.8524973869296192
xgboost,20260909,42,360,test,dynamic_energy_per_token_mj,29.158902168273926,6.435056209564209,0.3413259983062744,0.7554817199707031,0.8541159855302533
transformer,20260909,42,480,train,tpot_ms,20.857591927051544,11.58741283416748,0.2351972907781601,0.8324103355407715,0.8722747397574607
transformer,20260909,42,480,train,ttft_ms,18.39050203561783,167.82188415527344,0.19422654807567596,0.8153330087661743,0.9138958400873152
transformer,20260909,42,480,train,dynamic_energy_per_token_mj,31.25443458557129,5.884857177734375,0.3604734539985657,0.8110395669937134,0.8843951385529872
transformer,20260909,42,480,test,tpot_ms,24.983137845993042,14.494288444519043,0.27018627524375916,0.6475017070770264,0.82387478542596
transformer,20260909,42,480,test,ttft_ms,20.23538202047348,196.19444274902344,0.21992729604244232,0.7422183156013489,0.8693701279940619
transformer,20260909,42,480,test,dynamic_energy_per_token_mj,30.872774124145508,7.466123104095459,0.36462244391441345,0.605131983757019,0.8513473732497511
xgboost,20260909,42,480,train,tpot_ms,21.33098989725113,11.884289741516113,0.23123504221439362,0.8336350917816162,0.876316608350383
xgboost,20260909,42,480,train,ttft_ms,16.79999530315399,159.15176391601562,0.18402372300624847,0.8304961323738098,0.920204032391003
xgboost,20260909,42,480,train,dynamic_energy_per_token_mj,29.723569750785828,5.653509616851807,0.3460676074028015,0.8124755024909973,0.8951950389754604
xgboost,20260909,42,480,test,tpot_ms,23.675720393657684,13.309271812438965,0.2559095323085785,0.7669187188148499,0.8138342806652574
xgboost,20260909,42,480,test,ttft_ms,20.447272062301636,209.38438415527344,0.23112547397613525,0.694761335849762,0.8513306980639376
xgboost,20260909,42,480,test,dynamic_energy_per_token_mj,29.118525981903076,6.564207553863525,0.3457931578159332,0.739427924156189,0.8552646074548451
transformer,20260909,42,598,train,tpot_ms,21.612033247947693,11.979670524597168,0.23470807075500488,0.8213698267936707,0.8691084699969307
transformer,20260909,42,598,train,ttft_ms,18.48740577697754,167.95559692382812,0.1959204524755478,0.8051369190216064,0.9098615709234302
transformer,20260909,42,598,train,dynamic_energy_per_token_mj,31.006869673728943,5.878474712371826,0.3520922362804413,0.8170584440231323,0.8892798295765211
transformer,20260909,42,598,test,tpot_ms,24.754974246025085,14.12612247467041,0.26053839921951294,0.6893841028213501,0.8293614565896221
transformer,20260909,42,598,test,ttft_ms,19.98191624879837,192.98390197753906,0.2154688686132431,0.7486840486526489,0.8795614983795743
transformer,20260909,42,598,test,dynamic_energy_per_token_mj,30.57681918144226,7.121679306030273,0.35483548045158386,0.6508963108062744,0.8543146465549469
xgboost,20260909,42,598,train,tpot_ms,20.79688161611557,11.595026016235352,0.22409123182296753,0.844605028629303,0.8760239790365913
xgboost,20260909,42,598,train,ttft_ms,17.25652366876602,162.7264862060547,0.18607045710086823,0.8243369460105896,0.9144596270101992
xgboost,20260909,42,598,train,dynamic_energy_per_token_mj,29.467326402664185,5.626336574554443,0.3435812294483185,0.8174124956130981,0.8930499374507187
xgboost,20260909,42,598,test,tpot_ms,23.23651760816574,12.869538307189941,0.24848470091819763,0.7846245169639587,0.8209548311148545
xgboost,20260909,42,598,test,ttft_ms,19.865494966506958,202.13340759277344,0.21937155723571777,0.7314163446426392,0.8625596268911436
xgboost,20260909,42,598,test,dynamic_energy_per_token_mj,28.169730305671692,6.316998481750488,0.3362136781215668,0.7567893862724304,0.8605363486464863
transformer,20260909,123,120,train,tpot_ms,18.975751101970673,11.814530372619629,0.23934778571128845,0.7798990607261658,0.8816287270461357
transformer,20260909,123,120,train,ttft_ms,16.751912236213684,149.67628479003906,0.19494718313217163,0.8485313653945923,0.9231121822028451
transformer,20260909,123,120,train,dynamic_energy_per_token_mj,23.054708540439606,5.146303176879883,0.3057645261287689,0.8282204270362854,0.9111535523300227
transformer,20260909,123,120,test,tpot_ms,24.640566110610962,13.893952369689941,0.2854204773902893,0.7087090015411377,0.8038740810803455
transformer,20260909,123,120,test,ttft_ms,22.233058512210846,215.3837127685547,0.2537306249141693,0.6561555862426758,0.8350530405617891
transformer,20260909,123,120,test,dynamic_energy_per_token_mj,32.97816812992096,7.114011287689209,0.4001033902168274,0.6777381896972656,0.8255738143097342
xgboost,20260909,123,120,train,tpot_ms,18.725186586380005,10.697710990905762,0.2107926905155182,0.8473705053329468,0.8974006830360824
xgboost,20260909,123,120,train,ttft_ms,9.905631840229034,96.47142028808594,0.11884590238332748,0.9304012060165405,0.9685045385644951
xgboost,20260909,123,120,train,dynamic_energy_per_token_mj,22.595347464084625,4.956157207489014,0.27204808592796326,0.85915607213974,0.9260087506076811
xgboost,20260909,123,120,test,tpot_ms,24.11782294511795,13.309854507446289,0.25849828124046326,0.7462865114212036,0.8135685969979224
xgboost,20260909,123,120,test,ttft_ms,20.46431452035904,204.49771118164062,0.2400943636894226,0.6954167485237122,0.8367218029640953
xgboost,20260909,123,120,test,dynamic_energy_per_token_mj,31.889072060585022,6.6473493576049805,0.36496660113334656,0.7217589616775513,0.8324745759038624
transformer,20260909,123,240,train,tpot_ms,19.861699640750885,11.2481689453125,0.23138199746608734,0.8182349801063538,0.8623095040797942
transformer,20260909,123,240,train,ttft_ms,17.101004719734192,159.33775329589844,0.1939077377319336,0.8185514211654663,0.9075602167435807
transformer,20260909,123,240,train,dynamic_energy_per_token_mj,24.93223398923874,5.401218891143799,0.30642133951187134,0.8236114978790283,0.8984270560252781
transformer,20260909,123,240,test,tpot_ms,23.948876559734344,13.719378471374512,0.2607397735118866,0.7327417135238647,0.8203440276494757
transformer,20260909,123,240,test,ttft_ms,20.598135888576508,202.56056213378906,0.2328125685453415,0.7122129201889038,0.852113607697487
transformer,20260909,123,240,test,dynamic_energy_per_token_mj,32.65770971775055,7.362363338470459,0.3816528022289276,0.6574515104293823,0.8352522182309415
xgboost,20260909,123,240,train,tpot_ms,19.28652822971344,10.540087699890137,0.20879381895065308,0.8617206811904907,0.8775100880993907
xgboost,20260909,123,240,train,ttft_ms,14.986322820186615,143.76141357421875,0.1632237285375595,0.8583776354789734,0.9329796217349378
xgboost,20260909,123,240,train,dynamic_energy_per_token_mj,24.55700784921646,5.129231929779053,0.2898261249065399,0.8352094888687134,0.9064853556485355
xgboost,20260909,123,240,test,tpot_ms,24.14863407611847,13.530353546142578,0.25435736775398254,0.7445532083511353,0.8150090616792787
xgboost,20260909,123,240,test,ttft_ms,20.26696354150772,204.14349365234375,0.2276703417301178,0.7175648212432861,0.8503491262396372
xgboost,20260909,123,240,test,dynamic_energy_per_token_mj,31.32692277431488,6.750707626342773,0.3639878034591675,0.7116007208824158,0.8303832171166338
transformer,20260909,123,360,train,tpot_ms,20.255444943904877,11.380672454833984,0.23119789361953735,0.8123458623886108,0.8619187538169695
transformer,20260909,123,360,train,ttft_ms,17.708678543567657,161.60531616210938,0.19267968833446503,0.811439037322998,0.9083588699952768
transformer,20260909,123,360,train,dynamic_energy_per_token_mj,27.083569765090942,5.564338684082031,0.3343476355075836,0.7979078888893127,0.8857102806863221
transformer,20260909,123,360,test,tpot_ms,23.872974514961243,13.824462890625,0.25573986768722534,0.7238531112670898,0.8332597382574183
transformer,20260909,123,360,test,ttft_ms,19.846725463867188,190.72265625,0.21783119440078735,0.7459284067153931,0.8722335725707462
transformer,20260909,123,360,test,dynamic_energy_per_token_mj,30.969002842903137,7.269001483917236,0.36416611075401306,0.6535533666610718,0.8539426086359754
xgboost,20260909,123,360,train,tpot_ms,18.893805146217346,10.240118026733398,0.20939698815345764,0.8546406030654907,0.8842817610591288
xgboost,20260909,123,360,train,ttft_ms,16.18671864271164,153.31991577148438,0.17698325216770172,0.8345601558685303,0.9202696197912711
xgboost,20260909,123,360,train,dynamic_energy_per_token_mj,26.007863879203796,5.153441905975342,0.31278693675994873,0.8172403573989868,0.9007067955771263
xgboost,20260909,123,360,test,tpot_ms,24.154050648212433,13.386343002319336,0.25666651129722595,0.7549428343772888,0.8135032131285512
xgboost,20260909,123,360,test,ttft_ms,19.981276988983154,203.1079559326172,0.22178462147712708,0.720097541809082,0.8595878211195043
xgboost,20260909,123,360,test,dynamic_energy_per_token_mj,28.70372235774994,6.3892502784729,0.337083637714386,0.7404868602752686,0.8537493656392279
transformer,20260909,123,480,train,tpot_ms,21.157588064670563,11.862723350524902,0.23775236308574677,0.8008943796157837,0.860126761265434
transformer,20260909,123,480,train,ttft_ms,18.511323630809784,171.702392578125,0.2018761783838272,0.7869110703468323,0.8987018412423786
transformer,20260909,123,480,train,dynamic_energy_per_token_mj,31.121283769607544,5.826507568359375,0.3665284812450409,0.7852263450622559,0.8803271411857028
