variant,seed,target,mae,mape_percent,r2,spearman
baseline,42,tpot_ms,12.945700645446777,23.364253342151642,0.78313809633255,0.8175564447195505
baseline,42,ttft_ms,202.07980346679688,19.86410617828369,0.7355303764343262,0.8637624361551436
baseline,42,dynamic_energy_per_token_mj,6.242725849151611,28.139707446098328,0.7609075307846069,0.8586075306976432
baseline,123,tpot_ms,13.0352201461792,23.469150066375732,0.778344988822937,0.8163391911434121
baseline,123,ttft_ms,200.5694580078125,19.77407932281494,0.7409157752990723,0.8654628039059782
baseline,123,dynamic_energy_per_token_mj,6.320976257324219,28.198328614234924,0.7580209374427795,0.8584576319244653
baseline,2026,tpot_ms,12.96984577178955,23.323939740657806,0.7789776921272278,0.8173581521958717
baseline,2026,ttft_ms,198.79588317871094,19.4959357380867,0.7456037998199463,0.8707526362396953
baseline,2026,dynamic_energy_per_token_mj,6.249535083770752,27.863234281539917,0.7647489309310913,0.8616669104779241
compute,42,tpot_ms,12.8809814453125,23.606985807418823,0.785836935043335,0.8074499892120277
compute,42,ttft_ms,198.572509765625,19.253763556480408,0.7351078987121582,0.8790287225043791
compute,42,dynamic_energy_per_token_mj,6.086904525756836,27.6952862739563,0.7724442481994629,0.8611449737857747
compute,123,tpot_ms,12.963038444519043,23.571887612342834,0.7820897698402405,0.810760413255146
compute,123,ttft_ms,200.9229278564453,19.38306987285614,0.724942684173584,0.8770475186566198
compute,123,dynamic_energy_per_token_mj,6.244570255279541,27.800258994102478,0.7535579800605774,0.8623748661295594
compute,2026,tpot_ms,12.863489151000977,23.67318570613861,0.7894539833068848,0.8070210608376469
compute,2026,ttft_ms,199.15609741210938,19.295108318328857,0.7330648899078369,0.8768714317148177
compute,2026,dynamic_energy_per_token_mj,6.179658889770508,27.983596920967102,0.7611147165298462,0.8624615545766984
memory,42,tpot_ms,13.020033836364746,23.720888793468475,0.7825717926025391,0.8094844642172502
memory,42,ttft_ms,201.999755859375,19.655652344226837,0.7278102040290833,0.8713964823397193
memory,42,dynamic_energy_per_token_mj,6.341698169708252,28.183957934379578,0.755314826965332,0.8607223676059721
memory,123,tpot_ms,13.054941177368164,23.836252093315125,0.7822849750518799,0.8095738619205423
memory,123,ttft_ms,205.95703125,19.984707236289978,0.7115219831466675,0.8681438404711551
memory,123,dynamic_energy_per_token_mj,6.458822727203369,28.659585118293762,0.7438336610794067,0.8587195032751977
memory,2026,tpot_ms,13.180230140686035,23.841683566570282,0.7752271890640259,0.8080911242558396
memory,2026,ttft_ms,204.8832244873047,19.884203374385834,0.7176599502563477,0.8667288238670351
memory,2026,dynamic_energy_per_token_mj,6.3480706214904785,28.30355167388916,0.7552632689476013,0.8597489285849735
kernel,42,tpot_ms,13.145027160644531,23.5059455037117,0.7732263207435608,0.8173054087446495
kernel,42,ttft_ms,199.93832397460938,19.51366364955902,0.7316346168518066,0.8697917748525499
kernel,42,dynamic_energy_per_token_mj,6.642071723937988,29.52728569507599,0.7341853380203247,0.8475262401985307
kernel,123,tpot_ms,13.107885360717773,23.460498452186584,0.7749371528625488,0.8166222010738605
kernel,123,ttft_ms,200.79574584960938,19.55645978450775,0.7278567552566528,0.8709278201715391
kernel,123,dynamic_energy_per_token_mj,6.638648986816406,29.459452629089355,0.7336987257003784,0.8470996393399397
kernel,2026,tpot_ms,13.17447566986084,23.559726774692535,0.772229790687561,0.8145060867223729
kernel,2026,ttft_ms,201.79019165039062,19.698598980903625,0.7256938219070435,0.867761867258939
kernel,2026,dynamic_energy_per_token_mj,6.564872741699219,28.979825973510742,0.7382020950317383,0.8514033595385284
all_physics,42,tpot_ms,12.975088119506836,23.630791902542114,0.7812191843986511,0.8118729180072249
all_physics,42,ttft_ms,203.45346069335938,19.833190739154816,0.7210819721221924,0.8693331045857856
all_physics,42,dynamic_energy_per_token_mj,6.3640336990356445,28.494495153427124,0.7541031837463379,0.8556095552340859
all_physics,123,tpot_ms,13.044534683227539,23.67638498544693,0.7783056497573853,0.8085886811701216
all_physics,123,ttft_ms,204.6896209716797,19.92657035589218,0.7158660292625427,0.8687091247048366
all_physics,123,dynamic_energy_per_token_mj,6.381387710571289,28.458452224731445,0.7539258599281311,0.8549828700016434
all_physics,2026,tpot_ms,13.132412910461426,23.766639828681946,0.774809718132019,0.8062733709555676
all_physics,2026,ttft_ms,203.7124786376953,19.829419255256653,0.722031831741333,0.8666963155085486
all_physics,2026,dynamic_energy_per_token_mj,6.320625305175781,28.198108077049255,0.7614596486091614,0.8585045881666656
