variant,seed,target,feature,normalized_gain
baseline,2026,tpot_ms,total_params_M,0.1484598070383072
baseline,2026,tpot_ms,q8_group_size,0.5863046646118164
baseline,2026,tpot_ms,layer_size_kb,0.02185424603521824
baseline,2026,tpot_ms,mlp_ratio,0.018528323620557785
baseline,2026,tpot_ms,kv_ratio,0.011151694692671299
baseline,2026,tpot_ms,kv_bytes_per_token,0.0214119590818882
baseline,2026,tpot_ms,attention_width,0.029127933084964752
baseline,2026,ttft_ms,n_layer,0.11836384236812592
baseline,2026,ttft_ms,d_model,0.062233343720436096
baseline,2026,ttft_ms,n_h,0.02994908206164837
baseline,2026,ttft_ms,n_kv,0.020547999069094658
baseline,2026,ttft_ms,d_qk,0.012881748378276825
baseline,2026,ttft_ms,d_v,0.01665322668850422
baseline,2026,ttft_ms,d_mlp,0.06207698956131935
baseline,2026,ttft_ms,total_params_M,0.42877069115638733
baseline,2026,ttft_ms,q8_group_size,0.09153468161821365
baseline,2026,ttft_ms,layer_size_kb,0.08038225024938583
baseline,2026,ttft_ms,mlp_ratio,0.02166105806827545
baseline,2026,ttft_ms,kv_ratio,0.01287998165935278
baseline,2026,ttft_ms,kv_bytes_per_token,0.015228142961859703
baseline,2026,ttft_ms,attention_width,0.026836935430765152
baseline,2026,dynamic_energy_per_token_mj,n_layer,0.11448798328638077
baseline,2026,dynamic_energy_per_token_mj,d_model,0.077513687312603
baseline,2026,dynamic_energy_per_token_mj,n_h,0.05248234421014786
baseline,2026,dynamic_energy_per_token_mj,n_kv,0.013935156166553497
baseline,2026,dynamic_energy_per_token_mj,d_qk,0.011219516396522522
baseline,2026,dynamic_energy_per_token_mj,d_v,0.01471055019646883
baseline,2026,dynamic_energy_per_token_mj,d_mlp,0.016547026112675667
baseline,2026,dynamic_energy_per_token_mj,total_params_M,0.2967279851436615
baseline,2026,dynamic_energy_per_token_mj,q8_group_size,0.27232539653778076
baseline,2026,dynamic_energy_per_token_mj,layer_size_kb,0.018363529816269875
baseline,2026,dynamic_energy_per_token_mj,mlp_ratio,0.037576962262392044
baseline,2026,dynamic_energy_per_token_mj,kv_ratio,0.01468157209455967
baseline,2026,dynamic_energy_per_token_mj,kv_bytes_per_token,0.032987114042043686
baseline,2026,dynamic_energy_per_token_mj,attention_width,0.02644115872681141
compute,42,tpot_ms,n_layer,0.006607699673622847
compute,42,tpot_ms,d_model,0.007128931116312742
compute,42,tpot_ms,n_h,0.011835127137601376
compute,42,tpot_ms,n_kv,0.007788750808686018
compute,42,tpot_ms,d_qk,0.00606899568811059
compute,42,tpot_ms,d_v,0.005401624366641045
compute,42,tpot_ms,d_mlp,0.008886229246854782
compute,42,tpot_ms,total_params_M,0.01797630824148655
compute,42,tpot_ms,q8_group_size,0.43313178420066833
compute,42,tpot_ms,layer_size_kb,0.006832214072346687
